relation subj_type obj_type
org:alternate_names ORGANIZATION ORGANIZATION
org:city_of_headquarters ORGANIZATION CITY
org:country_of_headquarters ORGANIZATION COUNTRY
org:dissolved ORGANIZATION DATE
org:founded ORGANIZATION DATE
org:founded_by ORGANIZATION PERSON
org:member_of ORGANIZATION ORGANIZATION
org:members ORGANIZATION ORGANIZATION
org:number_of_employees/members ORGANIZATION NUMBER
org:parents ORGANIZATION ORGANIZATION
org:political/religious_affiliation ORGANIZATION RELIGION
org:shareholders ORGANIZATION PERSON
org:stateorprovince_of_headquarters ORGANIZATION STATE_OR_PROVINCE
org:subsidiaries ORGANIZATION ORGANIZATION
org:top_members/employees ORGANIZATION PERSON
org:website ORGANIZATION URL
per:age PERSON NUMBER
per:alternate_names PERSON PERSON
per:cause_of_death PERSON CAUSE_OF_DEATH
per:charges PERSON CRIMINAL_CHARGE
per:children PERSON PERSON
per:cities_of_residence PERSON CITY
per:city_of_birth PERSON CITY
per:city_of_death PERSON CITY
per:countries_of_residence PERSON COUNTRY
per:country_of_birth PERSON COUNTRY
per:country_of_death PERSON COUNTRY
per:date_of_birth PERSON DATE
per:date_of_death PERSON DATE
per:employee_of PERSON ORGANIZATION
per:origin PERSON NATIONALITY
per:other_family PERSON PERSON
per:parents PERSON PERSON
per:religion PERSON RELIGION
per:schools_attended PERSON ORGANIZATION
per:siblings PERSON PERSON
per:spouse PERSON PERSON
per:stateorprovince_of_birth PERSON STATE_OR_PROVINCE
per:stateorprovince_of_death PERSON STATE_OR_PROVINCE
per:stateorprovinces_of_residence PERSON STATE_OR_PROVINCE
per:title PERSON TITLE
